,Lat,Long,city,temp,humidity,windspeed,clouds
0,-74.21381650900346,27.971255740257277,kruisfontein,66.26,90,9.44,0
2,-57.78025244346986,-31.349318552543366,chuy,72.29,78,13.18,0
3,-32.04598252945206,-40.53103823591138,imbituba,75.2,64,10.29,75
4,-6.631769956384588,-49.944597709463466,sao geraldo do araguaia,76.88,100,4.63,68
5,31.053967766280365,-9.34000566568099,agadir,71.6,35,11.41,0
6,-1.424255122825528,-97.32315439233577,puerto ayora,77.0,78,12.75,75
7,54.95224379242387,-27.727135571905478,grindavik,43.75,93,12.75,75
8,-25.32680744614997,66.36467369244761,bambous virieux,78.8,74,18.34,75
9,-34.87514088673955,56.54689071588592,saint-joseph,66.72,32,4.7,0
10,-65.36266638607127,90.6328445200109,busselton,58.34,100,8.43,0
11,-55.30658700990442,-13.479898353989768,cape town,64.4,68,24.16,20
12,69.84814145027372,-121.9908142760543,norman wells,14.0,78,20.8,75
13,-79.84281376943619,-44.52831172254233,ushuaia,49.82,62,12.91,0
14,-14.73717751324645,159.1127227237588,kirakira,80.75,100,4.23,92
15,9.962858205917726,48.616808135021216,bosaso,81.02,100,1.77,80
16,10.591018588488794,78.5074843257355,manapparai,86.0,66,6.93,20
17,24.712064644919963,69.12649087053572,kadhan,81.92,37,11.05,8
18,26.918615072860064,-102.01304348413161,nadadores,64.4,15,16.11,20
19,46.44530089739203,-22.84158780933899,praia da vitoria,62.6,59,16.42,40
21,85.91607121579477,-133.16057473066405,tuktoyaktuk,-4.01,76,9.17,75
23,-29.49704424567272,27.920824814697596,teyateyaneng,46.91,92,2.51,56
25,35.20566284031692,-28.86713488925662,ribeira grande,62.6,55,8.05,20
26,54.10604169688793,145.03028982511535,ekhabi,11.27,78,1.77,24
27,50.01791614661465,-69.68661268208304,forestville,17.6,44,24.16,20
28,24.5959374728738,99.7836948864063,dali,60.77,66,5.41,56
29,6.55983624556238,-144.01450271927894,atuona,81.65,100,20.33,92
30,-62.79996285450692,106.0393482695045,albany,49.33,45,16.11,90
33,49.40049391342791,28.698480798804894,turbiv,62.12,61,10.56,44
34,67.11420329056509,47.49896005841967,leshukonskoye,34.76,74,7.25,36
35,-45.892575482457275,-137.16830663927055,rikitea,79.4,100,16.98,92
37,9.35448215003683,-43.71212515559179,cayenne,82.4,78,13.87,88
38,31.87133780452345,-173.72024350806,kapaa,72.43,94,17.22,90
39,35.19872160781415,141.3263806180566,hasaki,59.0,93,9.17,75
40,-59.52818988748333,8.204421877531985,hermanus,62.75,74,6.08,0
41,-79.18167592269094,13.613161684673827,bredasdorp,66.2,68,9.17,20
42,58.228452648130116,-123.57550850100631,fort nelson,35.6,64,10.29,40
43,63.17459494450512,-14.86162546350539,hofn,42.41,98,5.53,92
46,23.150873363147966,-154.34789179005114,kahului,70.9,88,19.46,40
47,55.33124720010116,-100.66914145132888,flin flon,24.8,45,5.82,40
49,-24.48703510482406,-166.32603225721033,alofi,75.2,69,11.41,12
50,-25.767469789286565,175.4644019521112,vao,46.82,63,5.08,0
51,32.08179837215299,74.95471268318681,narowal,77.0,61,3.78,20
52,-19.876723019469097,-22.219192908486235,georgetown,86.0,66,16.11,40
53,-68.7176927799767,172.19500576001315,bluff,64.01,92,2.84,0
54,0.029868784320029818,-14.112953866102117,monrovia,87.8,66,12.75,75
56,-89.34268653266503,-121.59687037322705,punta arenas,53.71,66,4.7,0
57,-68.2829393034097,147.16314919202046,hobart,48.2,61,12.75,75
58,-19.3817715258389,29.438273974537424,gweru,69.77,55,11.79,0
59,25.239189829942504,-71.3818326295282,cockburn town,78.77,97,22.19,48
60,2.573677517280288,-81.1180310335734,esmeraldas,81.95,47,9.17,40
62,21.716146341613225,129.16687571697122,itoman,75.2,94,13.87,75
63,37.06220965813567,134.94501582842474,mikuni,69.8,52,23.04,75
65,58.78783758860695,171.02784157049854,tilichiki,11.72,86,9.04,0
66,84.15386784298389,-115.91071577907437,yellowknife,32.0,100,8.05,20
68,-29.558544959469025,-50.84947621605062,igrejinha,72.52,64,12.75,75
69,2.3797160212711788,-17.399185709966474,bonthe,84.17,74,6.24,80
70,28.29569322099195,43.18688098569638,buraydah,84.2,28,10.29,0
71,12.916180810964661,164.9254310200887,butaritari,82.55,100,7.76,48
73,55.15682155997803,-126.82660425518338,smithers,37.4,74,3.36,75
75,43.742849612151275,-128.4113779552709,north bend,50.97,81,8.05,90
76,12.426544288784697,-114.41750191077774,cabo san lucas,73.56,68,5.82,5
77,-28.70286428187289,-2.398711809659943,jamestown,57.89,85,16.31,92
78,-15.207856831170858,12.887647249274636,lubango,67.88,100,1.05,68
79,28.284526704183747,102.83881458605822,xichang,62.48,29,2.55,92
80,-3.9280495272068237,120.14054740915611,singkang,78.8,94,3.36,75
81,-13.280029260087304,68.83427617384203,grand gaube,78.8,74,18.34,75
82,23.994711047078,-37.273327771734984,ponta do sol,83.27,51,4.85,48
83,-13.321291199701093,-43.9825757299038,santa maria da vitoria,80.21,79,6.31,20
84,16.480388073858833,134.9028300152953,airai,67.25,88,1.99,8
85,32.53266336948434,-58.81016454183934,saint george,68.0,60,6.93,20
88,50.222591445322365,-116.26281450351726,invermere,39.35,46,2.33,80
89,8.323166455838916,152.41948190541035,kavieng,84.35,100,11.39,64
92,8.815987063024352,7.239153263468211,suleja,74.72,96,1.77,32
94,7.088753934967073,-40.52872105387965,cururupu,81.92,94,5.91,64
96,39.75191548140208,-131.37713667535232,fortuna,67.28,35,12.75,20
99,71.13159138710239,2.4143915296419323,roald,54.88,57,4.7,0
100,32.3827851540627,-24.361522074108535,vila franca do campo,60.8,72,18.34,20
101,57.15629469442078,-60.14595208329598,saint-augustin,63.41,59,3.36,75
102,21.367639257772424,17.27772859343301,faya,68.04,59,11.41,20
103,48.07014494615717,-160.50343667782846,kodiak,39.2,86,11.41,90
104,57.96442828673824,36.98722671922778,krasnyy kholm,34.58,82,7.87,0
106,79.69719753603113,-4.0043033182723775,klaksvik,46.4,93,12.75,75
108,67.80172505955557,85.44272927856213,igarka,7.49,82,7.58,64
111,-8.5715845441445,-27.540828056126543,olinda,84.2,62,5.82,75
112,-66.59016601512386,135.58385324963575,new norfolk,48.2,66,18.34,75
113,-7.022564665794988,16.339546643566422,kasongo-lunda,71.84,89,2.1,92
115,-30.67671845433547,-144.80910615488787,mataura,26.39,89,5.08,0
116,-34.940726350395394,146.4093977117222,leeton,58.07,65,16.98,92
120,15.431975024239023,46.76443666998833,sayyan,61.22,57,2.84,48
121,6.61031671572708,125.5735757782333,tubalan,78.8,83,6.93,75
122,-42.283892977210165,-81.98898474260513,ancud,58.25,79,7.87,64
123,16.96186814307069,-21.394870542301703,santa maria,64.4,88,14.99,90
124,33.61700013273769,109.28301244375427,xian,56.7,81,12.75,75
125,-58.3219332934444,-164.52583564695806,avarua,77.0,83,13.87,75
128,43.39132868044862,91.92889501651905,hami,40.61,42,2.21,0
129,48.407182849658824,-18.94815371026732,dingle,79.49,80,10.94,32
132,82.52686186507918,155.354073805067,chokurdakh,-2.24,48,6.91,0
133,50.850611184800016,80.20821262669705,semey,36.74,76,4.23,92
134,-32.70857958124581,-41.863412050445305,laguna,71.6,10,8.05,5
140,-29.97088674442898,168.31900500612767,ahipara,64.91,95,10.38,76
141,52.799624355597786,-33.86054707242977,tasiilaq,32.0,99,24.16,90
145,-4.115316946367784,116.55346265796021,martapura,78.77,99,5.57,0
148,38.399653887776765,-84.1333316000412,paris,61.23,59,10.29,75
149,72.80240887667367,-51.97849032854782,ilulissat,17.6,78,10.29,75
150,66.51658287657574,97.16501263838722,tura,66.8,98,6.64,0
152,-23.268275605315466,126.37435474046026,yulara,66.2,34,8.05,0
154,32.05980375724381,68.13882883978596,sharan,38.81,94,1.77,68
155,64.09746836561098,140.60861997676187,ust-nera,1.37,62,2.06,56
156,77.10138235110932,-89.23464792116718,qaanaaq,5.78,100,3.51,56
157,-73.09837354241806,43.38825170790099,port alfred,70.13,90,8.03,88
158,25.18936167696829,135.14201984523442,naze,77.0,94,9.17,75
160,5.9380887045628725,-59.406088373724785,bartica,86.0,66,16.11,40
162,-28.15797335668882,-69.8367676323422,copiapo,59.0,77,6.93,90
163,-43.653369964422666,67.58807770474235,souillac,59.65,63,3.36,0
164,-10.35875498428426,-74.92526150752364,villa rica,69.77,99,1.1,92
165,-30.183715253434457,113.41409074592775,geraldton,14.0,47,12.75,90
168,32.084428107197525,39.013242940360186,turayf,75.2,27,9.17,75
169,-19.59774368960703,-72.40374687686607,ilo,72.11,71,3.89,0
170,7.065744525266226,-99.52400687952503,puerto escondido,82.82,100,13.58,0
171,-55.171001454155764,-172.10599710804914,vaini,73.01,83,2.89,0
172,-10.415930839318975,-33.22623692350902,maragogi,79.13,97,7.25,80
173,-11.582582899722084,-26.679540168393203,tamandare,74.36,99,4.52,92
175,87.03395626904913,-63.44172846436766,narsaq,28.4,46,3.36,40
176,-33.19531679499286,85.64595653387704,carnarvon,59.24,71,7.54,0
178,-11.475661269160184,111.39896464001328,boyolangu,71.93,97,2.21,64
179,48.204139122725934,-47.14034232872103,torbay,39.2,78,23.04,75
180,55.84401591645798,-12.148874023523831,westport,53.6,66,20.8,75
183,-50.671778596622374,-89.65733323229803,castro,57.62,79,6.87,88
185,-41.500420072368186,167.33186168143902,wanaka,21.44,76,2.06,8
187,57.343447709862915,35.82632193903339,rameshki,40.07,64,7.36,0
189,23.731358549322977,79.03548925302118,rehli,74.0,59,1.05,12
191,11.104079560536164,17.565229951889904,melfi,60.8,63,11.41,75
192,29.310825693023247,-24.738778277027933,los llanos de aridane,69.8,56,11.41,20
193,16.561842355855006,-127.89300921416951,guerrero negro,78.59,29,9.89,0
195,34.4633901534215,-125.45116669695403,pacific grove,55.85,66,4.29,1
196,43.566409481430554,-54.58630299483215,saint-pierre,59.16,71,6.93,0
198,42.76321791291127,178.29021956911282,nikolskoye,59.0,24,4.47,0
200,56.35090234069787,10.267096924949499,hornslet,57.2,71,6.93,0
201,48.041668342191144,21.472581346673053,tiszaeszlar,75.2,31,2.06,0
203,72.2189751561989,-137.46186249265588,aklavik,3.2,77,11.41,90
204,-28.07763865679707,177.68229331915018,russell,64.4,48,4.7,0
206,-31.03285681402115,-39.58408977562678,arraial do cabo,84.2,74,11.41,75
207,14.053261843886233,-68.40047831380738,rincon,78.35,54,5.82,40
209,66.77702226527776,130.3733593123444,batagay-alyta,0.83,57,2.62,0
210,-8.006812814093962,48.80163851073846,ambilobe,80.75,65,13.8,0
212,59.41693751285328,3.9280468272540645,holme,59.45,55,4.7,20
214,38.411486431457035,76.96360719190534,shache,46.55,55,6.8,0
216,0.5597150157358044,16.344823907285303,ouesso,70.58,100,3.4,68
217,-23.905093318698235,138.482811827124,mount isa,77.0,36,10.29,40
218,-58.19366275531637,157.22819447340487,tuatapere,43.04,100,7.54,20
220,23.40443331584173,14.408027161707679,marzuq,68.24,57,3.22,36
221,49.507525809044665,-105.52154753889639,assiniboia,36.29,86,15.48,68
224,56.54029805685252,27.92138673744077,ludza,50.06,55,10.94,0
230,-4.195038784508114,65.20797772235113,hithadhoo,84.89,100,5.23,32
231,64.04958951906397,108.05135957309045,yerbogachen,39.53,98,7.81,92
233,-8.035243457025544,24.193283145013226,kaniama,65.72,99,3.51,92
236,-40.879566751367655,35.83044074811687,east london,68.0,88,2.24,75
237,85.1146542426994,30.64852239962471,berlevag,31.97,100,7.36,88
240,18.258445287212155,-45.6953395039838,bathsheba,84.2,62,24.16,20
243,21.539845758336142,70.27655995128166,manavadar,82.55,39,6.87,12
244,20.11774468405882,33.09030033410127,marawi,69.14,99,1.88,32
